bin	seqname	contigLen	totalAvgDepth	contig_%GC
bin.077	Contig109865042	8531.0	14.4	66
bin.077	Contig111472840	5096.0	13.0	65
bin.077	Contig111910335	5323.0	12.8	68
bin.077	Contig111910336	7291.0	13.9	66
bin.077	Contig111945807	6278.0	12.9	67
bin.077	Contig111945808	5500.0	11.1	66
bin.077	Contig111963641	7278.0	12.9	66
bin.077	Contig111963642	7497.0	11.1	66
bin.077	Contig113403093	5636.0	10.7	67
bin.077	Contig114148767	6099.0	9.6	62
bin.077	Contig114148768	9042.0	10.1	66
bin.077	Contig114226477	10240.0	11.2	63
bin.077	Contig114350411	7681.0	12.5	67
bin.077	Contig114350412	11156.0	11.7	65
bin.077	Contig114474857	5665.0	12.9	64
bin.077	Contig114474859	9470.0	12.0	65
bin.077	Contig114474860	13975.0	11.2	64
bin.077	Contig114474861	11927.0	11.9	62
bin.077	Contig114990369	8474.0	12.9	66
bin.077	Contig114990373	5306.0	12.8	68
bin.077	Contig116380595	6213.0	11.3	66
bin.077	Contig117660289	5937.0	12.3	66
bin.077	Contig118321834	16507.0	11.9	67
bin.077	Contig118679501	9031.0	12.4	68
bin.077	Contig118911898	22616.0	12.6	64
bin.077	Contig119369554	5075.0	11.7	63
bin.077	Contig121414179	7268.0	9.2	64
bin.077	Contig121557585	9509.0	12.8	65
bin.077	Contig122933636	20544.0	11.0	67
bin.077	Contig122933637	7908.0	10.2	63
bin.077	Contig123266293	9601.0	12.6	67
bin.077	Contig123329209	14016.0	12.1	65
bin.077	Contig123538986	6954.0	14.0	67
bin.077	Contig124497825	5542.0	13.9	68
bin.077	Contig126758980	10382.0	13.4	61
bin.077	Contig127856024	5198.0	11.0	68
bin.077	Contig129370104	7627.0	14.6	64
bin.077	Contig131789101	7370.0	11.4	68
bin.077	Contig131789104	7516.0	12.1	68
bin.077	Contig132152887	23671.0	11.7	63
bin.077	Contig132438477	6986.0	11.4	66
bin.077	Contig133768605	8431.0	12.4	63
bin.077	Contig133853557	9594.0	12.2	64
bin.077	Contig133971031	8899.0	13.2	66
bin.077	Contig134085019	19529.0	12.1	65
bin.077	Contig134133756	15063.0	12.8	65
bin.077	Contig134303941	9636.0	10.4	68
bin.077	Contig134303942	5447.0	11.7	67
bin.077	Contig134303943	5931.0	11.9	63
bin.077	Contig134480680	5504.0	11.1	66
bin.077	Contig134918904	8053.0	11.1	67
bin.077	Contig134918905	11927.0	12.5	65
bin.077	Contig134918907	9498.0	10.7	65
bin.077	Contig135144425	7597.0	10.1	66
bin.077	Contig136761610	6152.0	13.1	63
bin.077	Contig136761612	5431.0	12.2	63
bin.077	Contig137788902	6788.0	9.5	65
bin.077	Contig137788904	6884.0	13.7	63
bin.077	Contig138387707	5567.0	12.0	66
bin.077	Contig138681349	7146.0	12.8	67
bin.077	Contig138852661	7619.0	10.8	66
bin.077	Contig138962491	6258.0	11.8	66
bin.077	Contig139188885	13887.0	11.6	66
bin.077	Contig140101796	8136.0	11.5	65
bin.077	Contig140439005	6717.0	12.0	66
bin.077	Contig141236528	6295.0	12.9	65
bin.077	Contig142446182	41113.0	10.9	67
bin.077	Contig142976319	24555.0	14.2	67
bin.077	Contig143281573	8091.0	12.0	67
bin.077	Contig143281576	10341.0	13.4	68
bin.077	Contig143417273	7478.0	16.0	61
bin.077	Contig144615785	7593.0	11.7	66
bin.077	Contig144819396	5682.0	12.9	64
bin.077	Contig145045943	6367.0	13.0	69
bin.077	Contig145396557	6575.0	13.3	66
bin.077	Contig146680957	7390.0	11.0	63
bin.077	Contig146792941	9482.0	11.1	65
bin.077	Contig146822378	6079.0	13.0	66
bin.077	Contig146822379	5703.0	16.8	67
bin.077	Contig146822381	10914.0	12.9	68
bin.077	Contig146822382	7611.0	12.4	66
bin.077	Contig147868908	5959.0	12.3	68
bin.077	Contig148152239	11752.0	12.2	67
bin.077	Contig150033086	6801.0	11.8	66
bin.077	Contig151042021	7080.0	10.1	62
bin.077	Contig151042022	8989.0	10.4	63
bin.077	Contig151079333	8201.0	12.5	70
bin.077	Contig151091793	5330.0	12.2	64
bin.077	Contig151091794	9390.0	12.3	67
bin.077	Contig151091799	5195.0	13.0	66
bin.077	Contig151091801	6102.0	12.4	68
bin.077	Contig151091803	5264.0	11.1	67
bin.077	Contig151766258	8951.0	11.9	65
bin.077	Contig151853079	5233.0	17.9	65
bin.077	Contig152472898	16561.0	12.1	66
bin.077	Contig153367695	15333.0	11.3	65
bin.077	Contig154631287	6458.0	11.7	64
bin.077	Contig154631288	6981.0	12.1	68
bin.077	Contig154992043	5303.0	11.7	65
bin.077	Contig156561350	5087.0	12.7	64
bin.077	Contig156561352	10374.0	11.0	65
bin.226	Contig52923	6525.0	8.4	53
bin.226	Contig752377	5472.0	7.1	51
bin.226	Contig1572492	5365.0	10.0	48
bin.226	Contig1984892	7713.0	8.5	51
bin.226	Contig2256535	5474.0	8.7	54
bin.226	Contig3071008	8221.0	9.3	53
bin.226	Contig3451572	8290.0	8.6	50
bin.226	Contig6421948	9031.0	8.2	51
bin.226	Contig8549502	15001.0	9.7	49
bin.226	Contig9115630	15711.0	14.4	52
bin.226	Contig9115631	7667.0	15.2	53
bin.226	Contig10705725	7347.0	6.6	50
bin.226	Contig14682300	5207.0	7.5	53
bin.226	Contig16888496	9163.0	10.1	53
bin.226	Contig19320333	8169.0	11.1	52
bin.226	Contig28099365	5501.0	10.8	51
bin.226	Contig28437304	13920.0	10.9	50
bin.226	Contig28513834	6286.0	8.4	51
bin.226	Contig29513794	21408.0	14.3	52
bin.226	Contig30077423	6613.0	10.3	50
bin.226	Contig30416642	6789.0	14.4	52
bin.226	Contig30416643	17126.0	13.8	53
bin.226	Contig30416645	11250.0	15.2	51
bin.226	Contig33199880	5500.0	5.0	50
bin.226	Contig34241820	6598.0	11.0	51
bin.226	Contig37106151	6283.0	7.5	53
bin.226	Contig37381660	5660.0	8.5	52
bin.226	Contig37524940	43264.0	20.3	50
bin.226	Contig41071846	5953.0	7.1	52
bin.226	Contig41138037	6638.0	13.4	52
bin.226	Contig41138038	15295.0	14.4	53
bin.226	Contig41138039	6041.0	13.9	49
bin.226	Contig46072020	5075.0	7.3	52
bin.226	Contig48082449	5041.0	9.9	50
bin.226	Contig48866184	6369.0	9.0	52
bin.226	Contig51957840	7092.0	11.5	52
bin.226	Contig55392531	21894.0	7.9	52
bin.226	Contig55834583	11990.0	14.0	52
bin.226	Contig56915240	6550.0	13.6	49
bin.226	Contig57958519	8159.0	8.1	56
bin.226	Contig58362307	5282.0	7.2	53
bin.226	Contig59731412	6892.0	11.9	53
bin.226	Contig62559817	5242.0	8.3	53
bin.226	Contig63263746	5330.0	7.8	51
bin.226	Contig74184024	6401.0	6.3	53
bin.226	Contig75209844	5850.0	7.2	53
bin.226	Contig75420707	5130.0	5.2	52
bin.226	Contig77206650	6389.0	9.9	50
bin.226	Contig79321630	10203.0	6.5	51
bin.226	Contig79887563	6110.0	7.6	51
bin.226	Contig82645643	13071.0	8.3	50
bin.226	Contig84443805	7346.0	8.3	48
bin.226	Contig87936837	17852.0	7.7	50
bin.226	Contig88242614	5804.0	7.1	52
bin.226	Contig88242615	8010.0	8.8	52
bin.226	Contig93769480	6122.0	13.6	49
bin.226	Contig95453897	7477.0	8.1	49
bin.226	Contig96087362	9977.0	8.2	51
bin.226	Contig96885135	10421.0	8.4	51
bin.226	Contig96885136	9122.0	7.7	51
bin.226	Contig97625578	5686.0	11.2	51
bin.226	Contig97625579	7342.0	11.8	50
bin.226	Contig98670988	13476.0	8.8	52
bin.226	Contig99757727	5837.0	9.1	53
bin.226	Contig100549394	6087.0	7.0	52
bin.226	Contig102652596	5394.0	10.9	52
bin.226	Contig104640079	6814.0	6.9	52
bin.226	Contig107533319	5567.0	5.9	51
bin.226	Contig107533321	7161.0	8.3	54
bin.226	Contig107533322	12290.0	8.3	50
bin.226	Contig111194997	16498.0	7.9	52
bin.226	Contig111250162	7356.0	12.1	53
bin.226	Contig112525512	5134.0	9.6	51
bin.226	Contig114101371	9519.0	8.2	53
bin.226	Contig114101372	6062.0	8.7	52
bin.226	Contig114480715	8703.0	9.7	51
bin.226	Contig114575301	68154.0	15.2	52
bin.226	Contig114575302	7359.0	13.4	54
bin.226	Contig114575304	6065.0	15.9	53
bin.226	Contig114575305	33035.0	15.1	53
bin.226	Contig114658420	8957.0	9.8	51
bin.226	Contig115150502	7516.0	7.4	51
bin.226	Contig115758842	8285.0	12.5	52
bin.226	Contig117636376	18955.0	14.8	52
bin.226	Contig117636377	17680.0	15.4	51
bin.226	Contig117636378	15830.0	15.2	51
bin.226	Contig118226526	8763.0	6.3	49
bin.226	Contig118452989	6020.0	7.8	52
bin.226	Contig119514987	5815.0	6.6	53
bin.226	Contig123316981	6177.0	6.8	48
bin.226	Contig124863519	31830.0	15.2	52
bin.226	Contig127735581	5995.0	5.8	51
bin.226	Contig128772218	23943.0	16.1	52
bin.226	Contig128772219	15124.0	15.7	50
bin.226	Contig128772220	15142.0	14.8	50
bin.226	Contig128778343	7789.0	7.4	51
bin.226	Contig132195419	40503.0	15.2	52
bin.226	Contig132195421	29580.0	15.6	50
bin.226	Contig132195423	44616.0	15.7	49
bin.226	Contig132195424	12836.0	14.7	50
bin.226	Contig132596473	7600.0	13.1	48
bin.226	Contig136114120	5667.0	5.2	50
bin.226	Contig137415620	13488.0	15.0	51
bin.226	Contig137415621	11037.0	16.0	52
bin.226	Contig137415623	9195.0	14.8	51
bin.226	Contig137415625	7231.0	17.1	52
bin.226	Contig138143520	5710.0	8.6	52
bin.226	Contig138149636	7064.0	6.8	53
bin.226	Contig139483245	21074.0	14.8	52
bin.226	Contig139483246	12211.0	15.0	53
bin.226	Contig139483247	17991.0	14.6	53
bin.226	Contig139483248	32548.0	15.1	52
bin.226	Contig139483249	9819.0	14.6	55
bin.226	Contig139483251	20959.0	13.6	52
bin.226	Contig139483252	37369.0	13.9	50
bin.226	Contig140788399	7905.0	7.9	52
bin.226	Contig140886472	5853.0	8.1	53
bin.226	Contig141733714	36142.0	13.8	52
bin.226	Contig141733715	50107.0	16.1	51
bin.226	Contig142095968	8563.0	14.4	55
bin.226	Contig142095970	16781.0	15.4	54
bin.226	Contig144929192	5727.0	7.1	52
bin.226	Contig145703972	7983.0	7.5	51
bin.226	Contig146975960	48031.0	16.2	51
bin.226	Contig146975961	57932.0	14.5	52
bin.226	Contig147426395	6152.0	8.0	51
bin.226	Contig148596174	5499.0	6.1	51
bin.226	Contig149599100	5060.0	10.6	50
bin.226	Contig150084208	6147.0	6.5	51
bin.226	Contig150196348	8123.0	4.9	52
bin.226	Contig150393919	5888.0	7.7	52
bin.226	Contig152864242	7001.0	7.1	49
bin.226	Contig154382789	5131.0	7.3	53
bin.226	Contig154780713	14169.0	16.2	51
bin.226	Contig155327876	7929.0	7.9	51
bin.226	Contig156082556	8294.0	7.0	53
bin.147	Contig2728561	89054.0	16.4	54
bin.147	Contig5482379	6060.0	17.8	53
bin.147	Contig5482380	19031.0	16.4	55
bin.147	Contig18853973	7644.0	16.6	50
bin.147	Contig18853974	27349.0	15.4	55
bin.147	Contig18853975	23199.0	16.2	52
bin.147	Contig18853976	8861.0	15.8	55
bin.147	Contig27423013	128291.0	16.1	55
bin.147	Contig28781542	122454.0	15.5	54
bin.147	Contig28781543	62977.0	15.2	55
bin.147	Contig28781544	5103.0	13.9	56
bin.147	Contig28781545	73749.0	15.3	55
bin.147	Contig31002272	45607.0	16.9	52
bin.147	Contig47653628	162320.0	16.4	55
bin.147	Contig54453928	7131.0	14.9	57
bin.147	Contig89780149	60724.0	17.6	53
bin.147	Contig96939813	80509.0	18.2	52
bin.147	Contig96939814	58817.0	17.7	53
bin.147	Contig100162013	33993.0	16.7	56
bin.147	Contig100162014	23409.0	15.9	54
bin.147	Contig104828517	83643.0	17.4	54
bin.147	Contig105565413	17117.0	17.0	53
bin.147	Contig111247982	60419.0	16.5	55
bin.147	Contig111247983	138703.0	16.9	55
bin.147	Contig115026028	20052.0	16.7	53
bin.147	Contig115026029	15006.0	17.8	55
bin.147	Contig116089524	17528.0	15.3	54
bin.147	Contig116089525	52722.0	15.8	51
bin.147	Contig116089526	41421.0	15.6	53
bin.147	Contig116089527	52439.0	15.3	53
bin.147	Contig116845008	55140.0	15.3	54
bin.147	Contig126461899	134100.0	14.9	55
bin.147	Contig126461900	171839.0	15.2	54
bin.147	Contig126461901	24359.0	15.3	56
bin.147	Contig126461902	13367.0	14.6	56
bin.147	Contig126461904	68882.0	15.3	54
bin.147	Contig136419453	56296.0	16.6	55
bin.147	Contig148318417	40713.0	16.3	56
bin.147	Contig149639675	76224.0	15.7	55
bin.147	Contig152227180	9001.0	17.5	52
bin.147	Contig152227181	15326.0	17.8	54
bin.147	Contig153361513	110753.0	16.2	52
bin.147	Contig153361514	70731.0	16.1	52
bin.147	Contig153361515	15133.0	16.1	55
bin.147	Contig153579443	157376.0	16.2	54
bin.147	Contig155023149	11789.0	16.4	55
bin.147	Contig155023150	102991.0	16.7	54
bin.367	Contig9178369	9478.0	423.4	56
bin.367	Contig10623856	7586.0	426.7	56
bin.367	Contig15952207	8440.0	412.7	59
bin.367	Contig21546597	6649.0	437.7	55
bin.367	Contig38844471	120006.0	412.6	57
bin.367	Contig41690694	8311.0	410.3	58
bin.367	Contig43537889	17311.0	473.6	57
bin.367	Contig50523874	23247.0	417.3	57
bin.367	Contig52030471	52486.0	400.8	58
bin.367	Contig52254701	6104.0	456.1	55
bin.367	Contig52254702	12958.0	427.4	59
bin.367	Contig56075661	7749.0	416.1	57
bin.367	Contig56153475	9648.0	441.8	57
bin.367	Contig67046879	35587.0	415.4	56
bin.367	Contig87376569	11182.0	434.3	57
bin.367	Contig89665407	17105.0	496.6	58
bin.367	Contig123299068	14700.0	398.6	56
bin.367	Contig131207468	6106.0	415.1	57
bin.367	Contig142716197	12866.0	445.7	57
bin.367	Contig144732352	8194.0	460.4	58
bin.367	Contig144732353	6957.0	464.7	58
bin.367	Contig149757084	6401.0	432.9	59
bin.303	Contig2921158	11337.0	7.8	57
bin.303	Contig3526482	17579.0	10.9	54
bin.303	Contig4235564	16352.0	7.9	59
bin.303	Contig4389069	11935.0	8.4	58
bin.303	Contig5166256	7531.0	7.8	54
bin.303	Contig6040731	31698.0	7.7	56
bin.303	Contig6040733	6966.0	7.8	57
bin.303	Contig6539966	8046.0	8.1	57
bin.303	Contig6673943	6750.0	7.9	59
bin.303	Contig6958565	5741.0	7.2	60
bin.303	Contig7699944	7081.0	7.2	57
bin.303	Contig8452655	9095.0	7.7	57
bin.303	Contig10177956	5525.0	8.1	57
bin.303	Contig13893709	5470.0	8.4	59
bin.303	Contig13893711	14727.0	8.0	57
bin.303	Contig14017778	9076.0	8.8	56
bin.303	Contig14244323	7675.0	7.8	58
bin.303	Contig16623041	8892.0	8.1	52
bin.303	Contig17012711	10922.0	7.3	59
bin.303	Contig17803374	8146.0	8.1	60
bin.303	Contig17803375	5417.0	8.9	58
bin.303	Contig17933284	6751.0	8.3	56
bin.303	Contig17933285	6212.0	7.5	56
bin.303	Contig18388239	5755.0	7.9	59
bin.303	Contig18388240	5875.0	6.9	59
bin.303	Contig18426222	5917.0	9.4	55
bin.303	Contig18426223	8739.0	8.1	56
bin.303	Contig19401516	5460.0	7.4	56
bin.303	Contig20308013	5684.0	7.4	59
bin.303	Contig21579173	9907.0	7.7	56
bin.303	Contig22188125	14581.0	7.7	58
bin.303	Contig23444947	8386.0	8.0	56
bin.303	Contig23804441	9714.0	7.2	60
bin.303	Contig23804442	5918.0	7.7	54
bin.303	Contig25462595	14823.0	8.4	58
bin.303	Contig25790494	12538.0	8.3	56
bin.303	Contig27134313	7680.0	8.1	58
bin.303	Contig27193540	5889.0	8.0	58
bin.303	Contig27297188	16834.0	8.5	58
bin.303	Contig27297189	11365.0	8.0	58
bin.303	Contig28017303	8680.0	7.7	59
bin.303	Contig28017304	7504.0	8.3	54
bin.303	Contig28192096	8840.0	7.4	61
bin.303	Contig28219566	7232.0	8.1	56
bin.303	Contig30389249	16627.0	8.2	59
bin.303	Contig30810685	6638.0	7.8	56
bin.303	Contig30827231	6077.0	7.5	57
bin.303	Contig31500448	10482.0	8.4	57
bin.303	Contig32116039	6181.0	8.5	57
bin.303	Contig32141959	5729.0	7.3	55
bin.303	Contig32909211	19077.0	8.7	55
bin.303	Contig33408490	5319.0	8.0	55
bin.303	Contig34241823	5015.0	7.6	58
bin.303	Contig34455953	5935.0	8.6	56
bin.303	Contig34461369	10492.0	8.0	58
bin.303	Contig35422174	6438.0	7.9	59
bin.303	Contig35422180	5402.0	7.8	56
bin.303	Contig35587259	5513.0	8.1	56
bin.303	Contig36764730	12417.0	7.8	56
bin.303	Contig36764731	8415.0	7.9	56
bin.303	Contig37051175	5590.0	8.3	58
bin.303	Contig37172235	5659.0	8.1	57
bin.303	Contig38505572	6624.0	7.2	58
bin.303	Contig39360690	5631.0	7.1	58
bin.303	Contig39537159	8177.0	7.8	57
bin.303	Contig39846093	6367.0	8.5	54
bin.303	Contig39947298	8604.0	7.1	56
bin.303	Contig40927789	10978.0	7.5	56
bin.303	Contig41431807	9616.0	8.5	57
bin.303	Contig41482124	7440.0	8.3	57
bin.303	Contig41637288	7288.0	7.4	54
bin.303	Contig41851174	15974.0	8.2	57
bin.303	Contig43383353	12216.0	7.9	59
bin.303	Contig44850450	6895.0	7.1	57
bin.303	Contig44850451	8449.0	7.8	59
bin.303	Contig44850453	8811.0	7.3	56
bin.303	Contig45627334	19964.0	8.3	58
bin.303	Contig47387065	8805.0	8.0	58
bin.303	Contig47387067	10278.0	7.8	57
bin.303	Contig47659118	6761.0	7.8	59
bin.303	Contig48142864	5110.0	7.5	56
bin.303	Contig48521548	8175.0	8.2	56
bin.303	Contig48577321	5779.0	7.1	55
bin.303	Contig48682920	9459.0	8.4	58
bin.303	Contig48682921	20893.0	8.7	59
bin.303	Contig49350411	6426.0	7.5	59
bin.303	Contig49722769	9596.0	9.0	55
bin.303	Contig50017952	6183.0	8.9	57
bin.303	Contig50803430	5286.0	9.0	57
bin.303	Contig51070959	7343.0	9.0	56
bin.303	Contig52454134	5325.0	7.2	57
bin.303	Contig52454137	9306.0	8.4	58
bin.303	Contig52778205	7543.0	7.6	58
bin.303	Contig52928793	5120.0	8.4	58
bin.303	Contig53040498	5088.0	8.0	57
bin.303	Contig53571226	9059.0	8.2	56
bin.303	Contig54858183	6144.0	6.6	60
bin.303	Contig55280582	7441.0	6.5	58
bin.303	Contig55280583	8037.0	7.3	57
bin.303	Contig55543530	21081.0	7.7	58
bin.303	Contig55739394	5387.0	7.8	56
bin.303	Contig56455977	7740.0	7.4	59
bin.303	Contig56601547	15096.0	8.7	55
bin.303	Contig56601548	7951.0	7.2	60
bin.303	Contig56646376	9401.0	8.5	56
bin.303	Contig56646377	6758.0	7.6	59
bin.303	Contig57947110	5848.0	9.0	57
bin.303	Contig57952719	6595.0	7.5	56
bin.303	Contig58283538	7501.0	7.5	54
bin.303	Contig58296225	6539.0	10.4	58
bin.303	Contig58923434	10462.0	8.1	54
bin.303	Contig59097005	19281.0	8.4	57
bin.303	Contig59097008	15017.0	8.3	56
bin.303	Contig59798472	13211.0	7.8	60
bin.303	Contig59798473	13642.0	7.7	59
bin.303	Contig59967136	15778.0	8.3	58
bin.303	Contig60113189	8120.0	7.9	57
bin.303	Contig60124537	5566.0	9.7	55
bin.303	Contig60491600	9111.0	8.8	58
bin.303	Contig62182573	16967.0	8.0	57
bin.303	Contig62182574	18149.0	7.6	57
bin.303	Contig62182575	14237.0	7.9	57
bin.303	Contig62424419	12756.0	7.3	58
bin.303	Contig62931675	6871.0	9.3	59
bin.303	Contig63529686	5223.0	8.5	53
bin.303	Contig64069248	6387.0	10.5	57
bin.303	Contig64150134	8697.0	7.0	60
bin.303	Contig64150135	6577.0	8.0	57
bin.303	Contig64150138	8956.0	8.1	55
bin.303	Contig65428412	18556.0	7.6	57
bin.303	Contig65502068	10479.0	7.9	56
bin.303	Contig65750257	5574.0	5.2	56
bin.303	Contig66162774	19107.0	7.8	57
bin.303	Contig67655389	6035.0	7.7	60
bin.303	Contig68765846	5245.0	8.3	58
bin.303	Contig70541659	6067.0	8.2	58
bin.303	Contig71292273	14211.0	8.8	56
bin.303	Contig71292274	5148.0	8.1	56
bin.303	Contig71690383	5490.0	7.1	56
bin.303	Contig71969341	6733.0	8.8	56
bin.303	Contig71969342	6063.0	7.8	59
bin.303	Contig73369534	14554.0	7.3	54
bin.303	Contig73598151	14367.0	8.3	56
bin.303	Contig73796585	15503.0	8.5	57
bin.303	Contig73847821	7278.0	8.4	58
bin.303	Contig74423308	33132.0	8.7	55
bin.303	Contig75246147	8634.0	8.2	55
bin.303	Contig75246148	9341.0	8.7	54
bin.303	Contig75990771	9721.0	7.5	58
bin.303	Contig76047824	9373.0	8.5	56
bin.303	Contig76047825	7991.0	8.1	58
bin.303	Contig76315834	19752.0	7.8	57
bin.303	Contig77075161	13501.0	8.2	57
bin.303	Contig77520880	8132.0	8.0	58
bin.303	Contig77606583	14790.0	7.7	58
