Original Viral population,Original Host,Final_score,CRISPR score,Prophage blast score,WIsH score,Number of CRISPR matches,Max number of end mismatches detected in any CRISPR spacer,Prophage blast percent identity,Prophage blast viral contig coverage,tRNA match,Max number of end mismatches detected in host tRNA,Non-promiscuous tRNA match score,WIsH p-value,Viral population,Predicted host
Contig130801669||full,bin.008,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Yes,0,3,NaN,Virus_036207,BAC_Host_117
Contig131776859||full,bin.008,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0100148,Virus_036599,BAC_Host_117
Contig132517319||full,bin.008,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0057193,Virus_036934,BAC_Host_117
Contig133975279||full,bin.008,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Yes,0,3,NaN,Virus_037606,BAC_Host_117
Contig135638170||full,bin.008,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0173483,Virus_038282,BAC_Host_117
Contig137189366||full,bin.008,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0144791,Virus_038999,BAC_Host_117
Contig138748625||full,bin.008,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0367539,Virus_039678,BAC_Host_117
Contig139464887||full,bin.008,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00587792,Virus_040007,BAC_Host_117
Contig140003666||full,bin.008,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.03758,Virus_040228,BAC_Host_117
Contig141917574||full,bin.008,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.044549,Virus_041149,BAC_Host_117
Contig141942856||full,bin.008,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0186027,Virus_041160,BAC_Host_117
Contig142630703||full,bin.008,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0233748,Virus_041468,BAC_Host_117
Contig143257010||full,bin.008,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0111621,Virus_041738,BAC_Host_117
Contig145195971||full,bin.008,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0239671,Virus_042634,BAC_Host_117
Contig146742397||full,bin.008,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00693194,Virus_043260,BAC_Host_117
Contig147277808||full,bin.008,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0338524,Virus_043507,BAC_Host_117
Contig147507422||full,bin.008,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0207086,Virus_043600,BAC_Host_117
Contig147973317||full,bin.008,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0380848,Virus_043806,BAC_Host_117
Contig147997980||full,bin.008,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0305536,Virus_043813,BAC_Host_117
Contig148207663||full,bin.008,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0120899,Virus_043917,BAC_Host_117
Contig148437219||full,bin.008,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0010102,Virus_044021,BAC_Host_117
Contig148787605||full,bin.008,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.025322,Virus_044208,BAC_Host_117
Contig149577780||full,bin.008,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00521667,Virus_044606,BAC_Host_117
Contig149682960||full,bin.008,1.5,NaN,NaN,1.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000679281,Virus_044653,BAC_Host_117
Contig152615638||full,bin.008,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0367184,Virus_046071,BAC_Host_117
Contig152673765||full,bin.008,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0432266,Virus_046108,BAC_Host_117
Contig153361658||full,bin.008,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0492179,Virus_046465,BAC_Host_117
Contig153940784||full,bin.008,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0163886,Virus_046750,BAC_Host_117
Contig153959503||full,bin.008,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0139389,Virus_046758,BAC_Host_117
Contig17900800||full,bin.008,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0321624,Virus_003365,BAC_Host_117
Contig18075565||full,bin.008,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0171712,Virus_003403,BAC_Host_117
Contig18610243||full,bin.008,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0341199,Virus_003513,BAC_Host_117
Contig1908555||full,bin.008,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00658083,Virus_000350,BAC_Host_117
Contig2015939||full,bin.008,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00676594,Virus_000375,BAC_Host_117
Contig21214963||full,bin.008,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00234206,Virus_004004,BAC_Host_117
Contig21622627||full,bin.008,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0162526,Virus_004068,BAC_Host_117
Contig25429868||full,bin.008,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00889508,Virus_004800,BAC_Host_117
Contig25555375||full,bin.008,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00558511,Virus_004826,BAC_Host_117
Contig25588973||full,bin.008,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0117757,Virus_004836,BAC_Host_117
Contig26882392||full,bin.008,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0244817,Virus_005090,BAC_Host_117
Contig2728277||full,bin.008,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00726213,Virus_000490,BAC_Host_117
Contig28181254||full,bin.008,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.021391,Virus_005381,BAC_Host_117
Contig29065402||lt2gene,bin.008,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0181377,Virus_048556,BAC_Host_117
Contig30887440||full,bin.008,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00889943,Virus_005949,BAC_Host_117
Contig33775810||full,bin.008,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0471489,Virus_006641,BAC_Host_117
Contig36566615||full,bin.008,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0248938,Virus_007261,BAC_Host_117
Contig3714329||full,bin.008,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0290009,Virus_000696,BAC_Host_117
Contig40017141||full,bin.008,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0114538,Virus_008050,BAC_Host_117
Contig43128502||full,bin.008,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0179098,Virus_008792,BAC_Host_117
Contig43886694||full,bin.008,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0423506,Virus_008967,BAC_Host_117
Contig44628817||full,bin.008,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0227908,Virus_009143,BAC_Host_117
Contig45883448||lt2gene,bin.008,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0100109,Virus_048655,BAC_Host_117
Contig50920812||full,bin.008,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0195825,Virus_010646,BAC_Host_117
Contig51288150||full,bin.008,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0371424,Virus_010740,BAC_Host_117
Contig52108114||full,bin.008,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.010557,Virus_010929,BAC_Host_117
Contig52493275||full,bin.008,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0106389,Virus_011039,BAC_Host_117
Contig53476073||full,bin.008,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Yes,0,3,NaN,Virus_011261,BAC_Host_117
Contig54761432||full,bin.008,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0389733,Virus_011609,BAC_Host_117
Contig58103877||full,bin.008,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0248205,Virus_012452,BAC_Host_117
Contig5815074||full,bin.008,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00370757,Virus_001099,BAC_Host_117
Contig60006544||full,bin.008,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0191355,Virus_012970,BAC_Host_117
Contig6110491||full,bin.008,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00658787,Virus_001156,BAC_Host_117
Contig61440223||full,bin.008,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00794537,Virus_013343,BAC_Host_117
Contig61760309||lt2gene,bin.008,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0297805,Virus_048760,BAC_Host_117
Contig65671346||full,bin.008,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0417553,Virus_014451,BAC_Host_117
Contig66701014||full,bin.008,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.015287,Virus_014678,BAC_Host_117
Contig69899824||full,bin.008,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0149675,Virus_015588,BAC_Host_117
Contig70956310||full,bin.008,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0239447,Virus_015822,BAC_Host_117
Contig71587882||full,bin.008,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00205256,Virus_016000,BAC_Host_117
Contig72122529||full,bin.008,1.5,NaN,NaN,1.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000348046,Virus_016134,BAC_Host_117
Contig73238622||full,bin.008,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Yes,0,3,NaN,Virus_016446,BAC_Host_117
Contig73289657||full,bin.008,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.007456,Virus_016463,BAC_Host_117
Contig74497324||full,bin.008,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Yes,0,3,NaN,Virus_016817,BAC_Host_117
Contig76635075||full,bin.008,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0149104,Virus_017425,BAC_Host_117
Contig78103505||full,bin.008,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.032267,Virus_017874,BAC_Host_117
Contig82668607||full,bin.008,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0216337,Virus_019275,BAC_Host_117
Contig84052965||full,bin.008,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0415789,Virus_019772,BAC_Host_117
Contig85877823||full,bin.008,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00685948,Virus_020300,BAC_Host_117
Contig86183853||lt2gene,bin.008,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0339038,Virus_048910,BAC_Host_117
Contig86534240||full,bin.008,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0120989,Virus_020515,BAC_Host_117
Contig87232384||full,bin.008,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0212156,Virus_020714,BAC_Host_117
Contig8780826||full,bin.008,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.047447,Virus_001682,BAC_Host_117
Contig87816210||full,bin.008,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0123638,Virus_020901,BAC_Host_117
Contig89526145||full,bin.008,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00724428,Virus_021392,BAC_Host_117
Contig907239||full,bin.008,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.037816,Virus_000146,BAC_Host_117
Contig93363379||full,bin.008,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00142391,Virus_022562,BAC_Host_117
Contig93920187||full,bin.008,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0249769,Virus_022740,BAC_Host_117
Contig95988849||lt2gene,bin.008,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0341902,Virus_048970,BAC_Host_117
Contig96323||full,bin.008,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0346516,Virus_000021,BAC_Host_117
Contig9667505||full,bin.008,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00723176,Virus_001839,BAC_Host_117
Contig99009299||lt2gene,bin.008,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0236858,Virus_048998,BAC_Host_117
Contig99173031||full,bin.008,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0374789,Virus_024413,BAC_Host_117
Contig99319330||full,bin.008,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0090664,Virus_024463,BAC_Host_117
Contig99354462||full,bin.008,1.5,NaN,NaN,1.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000462463,Virus_024479,BAC_Host_117
Contig99500088||full,bin.008,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0405063,Virus_024513,BAC_Host_117
Contig100863700||full,bin.012,1.5,NaN,NaN,1.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000657292,Virus_025020,BAC_Host_152
Contig105508202||full,bin.012,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00375533,Virus_026643,BAC_Host_152
Contig118441071||full,bin.012,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Yes,0,3,NaN,Virus_031271,BAC_Host_152
Contig128705790||full,bin.012,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Yes,0,3,NaN,Virus_035313,BAC_Host_152
Contig131407317||full,bin.012,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Yes,0,3,NaN,Virus_036427,BAC_Host_152
Contig138663108||full,bin.012,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Yes,0,3,NaN,Virus_039639,BAC_Host_152
Contig142557048||full,bin.012,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00295411,Virus_041442,BAC_Host_152
Contig145378614||full,bin.012,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Yes,0,3,NaN,Virus_042718,BAC_Host_152
Contig149332220||full,bin.012,1.5,NaN,NaN,1.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00015013,Virus_044490,BAC_Host_152
Contig24769486||full,bin.012,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00152751,Virus_004697,BAC_Host_152
Contig36170467||full,bin.012,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Yes,0,3,NaN,Virus_007179,BAC_Host_152
Contig46221616||full,bin.012,2.5,NaN,NaN,2.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.61693E-14,Virus_009542,BAC_Host_152
Contig48877404||full,bin.012,2.5,NaN,NaN,2.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.08722E-14,Virus_010138,BAC_Host_152
Contig78470025||full,bin.012,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Yes,0,3,NaN,Virus_017984,BAC_Host_152
Contig81899492||full,bin.012,1.5,NaN,NaN,1.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000459,Virus_019039,BAC_Host_152
Contig95331696||full,bin.012,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00235213,Virus_023167,BAC_Host_152
Contig95988394||full,bin.012,1.5,NaN,NaN,1.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000243966,Virus_023371,BAC_Host_152
Contig95988395||full,bin.012,1.5,NaN,NaN,1.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00000501857,Virus_023372,BAC_Host_152
Contig102604416||full,bin.014,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0262469,Virus_025648,BAC_Host_223
Contig113573380||full,bin.014,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Yes,0,3,NaN,Virus_029462,BAC_Host_223
Contig126287202||full,bin.014,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0357569,Virus_034272,BAC_Host_223
Contig133969194||full,bin.014,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0177522,Virus_037601,BAC_Host_223
Contig136223931||full,bin.014,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0244352,Virus_038553,BAC_Host_223
Contig139152010||full,bin.014,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00703016,Virus_039857,BAC_Host_223
Contig144290100||full,bin.014,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0122744,Virus_042235,BAC_Host_223
Contig150998823||0_partial,bin.014,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Yes,0,3,NaN,Virus_048427,BAC_Host_223
Contig25965292||full,bin.014,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Yes,0,3,NaN,Virus_004908,BAC_Host_223
Contig52928783||full,bin.014,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0194333,Virus_011130,BAC_Host_223
Contig52928784||full,bin.014,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0348308,Virus_011131,BAC_Host_223
Contig55063968||full,bin.014,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0250653,Virus_011684,BAC_Host_223
Contig82129628||full,bin.014,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Yes,0,3,NaN,Virus_019122,BAC_Host_223
Contig100992675||full,bin.015,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Yes,0,3,NaN,Virus_025088,BAC_Host_022
Contig105447695||full,bin.015,2.5,NaN,NaN,2.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.94709E-12,Virus_026632,BAC_Host_022
Contig114551603||full,bin.015,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Yes,0,3,NaN,Virus_029788,BAC_Host_022
Contig123736873||full,bin.015,2,NaN,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.33179E-11,Virus_033377,BAC_Host_022
Contig123736874||full,bin.015,2,NaN,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.21324E-11,Virus_033378,BAC_Host_022
Contig132305143||full,bin.015,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Yes,0,3,NaN,Virus_036832,BAC_Host_022
Contig141794744||full,bin.015,2,NaN,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.71109E-10,Virus_041076,BAC_Host_022
Contig143539792||full,bin.015,2,NaN,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.60592E-11,Virus_041862,BAC_Host_022
Contig83202667||full,bin.015,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Yes,0,3,NaN,Virus_019450,BAC_Host_022
Contig141242487||full,bin.016,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00258598,Virus_040785,BAC_Host_250
Contig15957552||full,bin.016,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00250181,Virus_002987,BAC_Host_250
Contig101062819||full,bin.019,4.5,NaN,NaN,1.5,NaN,NaN,NaN,NaN,Yes,0,3,0.00000576925,Virus_025112,BAC_Host_147
Contig101062822||full,bin.019,1.5,NaN,NaN,1.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0000082951,Virus_025113,BAC_Host_147
Contig101062823||full,bin.019,1.5,NaN,NaN,1.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00000905655,Virus_025114,BAC_Host_147
Contig105036628||full,bin.019,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00624063,Virus_026492,BAC_Host_147
Contig108265354||full,bin.019,1.5,NaN,NaN,1.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0000185953,Virus_027630,BAC_Host_147
Contig111124031||full,bin.019,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0381453,Virus_028605,BAC_Host_147
Contig12438194||full,bin.019,1.5,NaN,NaN,1.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0000107775,Virus_002348,BAC_Host_147
