	VIRSorter category	Circular	Prophage	Gene count	Strand switches	potential AMG count	Transposase present	Possible Non-Viral Contig	Viral genes with host benefits	Viral genes with unknown function	Viral hypothetical genes	Viral structure genes	Viral genes with viral benefits	Viral replication genes
Contig100103286||full	0	False	0	15	2	0	False	0.0	0.0	0.0	14.0	0.0	0.0	1.0
Contig100108490||full	0	False	0	4	2	0	False	0.0	0.0	0.0	4.0	0.0	0.0	0.0
Contig100108491||full	0	False	0	6	2	0	False	0.0	0.0	1.0	5.0	0.0	0.0	0.0
Contig100114611||full	0	False	0	4	0	0	False	0.0	0.0	0.0	4.0	0.0	0.0	0.0
Contig100115277||lt2gene	0	False	0	2	0	0	False	0.0	0.0	0.0	2.0	0.0	0.0	0.0
Contig100120229||full	0	False	0	6	3	0	False	0.0	0.0	0.0	6.0	0.0	0.0	0.0
Contig100126064||full	0	False	0	8	0	0	False	0.0	0.0	0.0	8.0	0.0	0.0	0.0
Contig100126117||full	0	False	0	4	1	0	False	0.0	0.0	0.0	4.0	0.0	0.0	0.0
Contig100127439||full	0	False	0	3	0	0	False	0.0	0.0	0.0	3.0	0.0	0.0	0.0
Contig100133008||full	0	False	0	3	1	0	False	0.0	0.0	0.0	3.0	0.0	0.0	0.0
Contig100133627||full	0	False	0	5	1	0	False	0.2	1.0	0.0	3.0	0.0	1.0	0.0
Contig100137666||full	0	False	0	4	2	0	False	0.0	0.0	0.0	4.0	0.0	0.0	0.0
Contig100137712||full	0	False	0	7	0	0	False	0.0	0.0	1.0	6.0	0.0	0.0	0.0
Contig100137713||full	0	False	0	27	0	2	False	0.14814814814814814	4.0	3.0	19.0	0.0	0.0	1.0
Contig100137714||full	0	False	0	35	0	0	False	0.02857142857142857	1.0	1.0	31.0	1.0	0.0	1.0
Contig100137715||full	0	False	0	13	0	0	False	0.0	0.0	0.0	12.0	1.0	0.0	0.0
Contig100137716||full	0	False	0	13	0	0	False	0.0	0.0	1.0	11.0	1.0	0.0	0.0
Contig100137717||full	0	False	0	26	0	0	False	0.038461538461538464	1.0	0.0	25.0	0.0	0.0	0.0
Contig100137718||full	0	False	0	19	0	0	False	0.0	0.0	1.0	17.0	0.0	1.0	0.0
Contig100137719||full	0	False	0	8	0	0	False	0.0	0.0	0.0	8.0	0.0	0.0	0.0
Contig100143586||full	0	False	0	6	0	0	False	0.0	0.0	0.0	6.0	0.0	0.0	0.0
Contig100149704||full	0	False	0	4	3	0	False	0.0	0.0	0.0	4.0	0.0	0.0	0.0
Contig100155281||full	0	False	0	10	0	0	False	0.0	0.0	0.0	10.0	0.0	0.0	0.0
Contig100155282||full	0	False	0	15	1	0	False	0.06666666666666667	1.0	2.0	12.0	0.0	0.0	0.0
Contig100155288||full	0	False	0	5	0	0	False	0.0	0.0	1.0	3.0	0.0	0.0	1.0
Contig100161084||full	0	False	0	5	2	0	False	0.0	0.0	0.0	5.0	0.0	0.0	0.0
Contig100161093||full	0	False	0	5	0	0	False	0.0	0.0	1.0	4.0	0.0	0.0	0.0
Contig10016566||full	0	False	0	8	0	0	False	0.0	0.0	1.0	7.0	0.0	0.0	0.0
Contig100172735||full	0	False	0	9	2	0	False	0.1111111111111111	1.0	0.0	8.0	0.0	0.0	0.0
Contig100173551||full	0	False	0	14	0	0	False	0.0	0.0	1.0	13.0	0.0	0.0	0.0
Contig100183871||full	0	False	0	43	32	0	False	0.0	0.0	0.0	42.0	0.0	0.0	1.0
Contig100184443||full	0	False	0	9	4	0	False	0.0	0.0	0.0	9.0	0.0	0.0	0.0
Contig100190307||full	0	False	0	6	2	0	False	0.0	0.0	0.0	6.0	0.0	0.0	0.0
Contig100190794||full	0	False	0	7	0	0	False	0.0	0.0	2.0	4.0	0.0	0.0	1.0
Contig100190795||full	0	False	0	12	0	0	False	0.0	0.0	9.0	1.0	0.0	0.0	2.0
Contig100191544||full	0	False	0	3	0	0	False	0.0	0.0	0.0	3.0	0.0	0.0	0.0
Contig100202437||full	0	False	0	4	2	0	False	0.0	0.0	0.0	4.0	0.0	0.0	0.0
Contig100207862||full	0	False	0	3	0	0	False	0.0	0.0	1.0	2.0	0.0	0.0	0.0
Contig100207863||full	0	False	0	5	0	0	False	0.0	0.0	1.0	4.0	0.0	0.0	0.0
Contig100208206||full	0	False	0	4	0	0	False	0.0	0.0	0.0	4.0	0.0	0.0	0.0
Contig100213864||full	0	False	0	3	0	0	False	0.0	0.0	0.0	3.0	0.0	0.0	0.0
Contig10021902||full	0	False	0	6	4	0	False	0.0	0.0	0.0	5.0	0.0	0.0	1.0
Contig100219596||full	0	False	0	11	0	0	False	0.0	0.0	6.0	5.0	0.0	0.0	0.0
Contig100219603||full	0	False	0	4	0	0	False	0.0	0.0	1.0	3.0	0.0	0.0	0.0
Contig100225413||full	0	False	0	10	0	0	False	0.0	0.0	1.0	9.0	0.0	0.0	0.0
Contig100225414||full	0	False	0	8	0	0	False	0.0	0.0	0.0	7.0	0.0	0.0	1.0
Contig100243010||full	0	False	0	5	0	0	False	0.0	0.0	0.0	4.0	0.0	0.0	1.0
Contig100254835||full	0	False	0	12	0	0	False	0.0	0.0	0.0	10.0	0.0	1.0	1.0
Contig100254836||full	0	False	0	43	2	0	False	0.0	0.0	1.0	40.0	2.0	0.0	0.0
Contig100266555||full	0	False	0	4	0	0	False	0.0	0.0	0.0	4.0	0.0	0.0	0.0
Contig100272398||full	0	False	0	2	0	0	False	0.0	0.0	0.0	2.0	0.0	0.0	0.0
Contig100272403||full	0	False	0	10	0	0	False	0.0	0.0	3.0	6.0	0.0	0.0	1.0
Contig100272405||full	0	False	0	5	0	1	False	0.0	0.0	1.0	3.0	1.0	0.0	0.0
Contig100278240||full	0	False	0	9	0	0	False	0.0	0.0	1.0	8.0	0.0	0.0	0.0
Contig100278249||full	0	False	0	3	0	0	False	0.0	0.0	0.0	3.0	0.0	0.0	0.0
Contig100279217||full	0	False	0	3	0	0	False	0.0	0.0	0.0	3.0	0.0	0.0	0.0
Contig100295783||full	0	False	0	20	5	0	False	0.0	0.0	0.0	20.0	0.0	0.0	0.0
Contig100295784||full	0	False	0	2	0	0	False	0.5	1.0	0.0	1.0	0.0	0.0	0.0
Contig100295817||full	0	False	0	3	0	0	False	0.0	0.0	0.0	3.0	0.0	0.0	0.0
Contig100301631||full	0	False	0	5	1	0	False	0.0	0.0	1.0	4.0	0.0	0.0	0.0
Contig100307496||full	0	False	0	3	0	0	False	0.0	0.0	0.0	3.0	0.0	0.0	0.0
Contig100307516||full	0	False	0	4	2	0	False	0.25	1.0	0.0	3.0	0.0	0.0	0.0
Contig100307531||full	0	False	0	11	1	0	False	0.0	0.0	0.0	11.0	0.0	0.0	0.0
Contig100319092||full	0	False	0	5	2	0	False	0.2	1.0	0.0	4.0	0.0	0.0	0.0
Contig100319333||full	0	False	0	3	1	0	False	0.3333333333333333	1.0	0.0	2.0	0.0	0.0	0.0
Contig100324937||full	0	False	0	2	1	0	False	0.0	0.0	0.0	2.0	0.0	0.0	0.0
Contig100348279||full	0	False	0	7	0	0	False	0.0	0.0	0.0	7.0	0.0	0.0	0.0
Contig100350443||full	0	False	0	4	0	0	False	0.0	0.0	0.0	3.0	0.0	0.0	1.0
Contig100354109||full	0	False	0	6	0	0	False	0.0	0.0	0.0	6.0	0.0	0.0	0.0
Contig100354150||full	0	False	0	5	0	0	True	0.0	0.0	0.0	4.0	0.0	0.0	1.0
Contig100365787||full	0	False	0	13	0	0	False	0.0	0.0	1.0	12.0	0.0	0.0	0.0
Contig100365797||full	0	False	0	11	2	0	False	0.0	0.0	1.0	7.0	3.0	0.0	0.0
Contig100365827||full	0	False	0	6	0	0	False	0.0	0.0	1.0	4.0	1.0	0.0	0.0
Contig100365828||full	0	False	0	4	0	0	False	0.0	0.0	0.0	4.0	0.0	0.0	0.0
Contig100377522||full	0	False	0	12	0	0	False	0.0	0.0	1.0	11.0	0.0	0.0	0.0
Contig100377760||full	0	False	0	4	2	0	False	0.0	0.0	0.0	4.0	0.0	0.0	0.0
Contig100378288||full	0	False	0	18	2	0	False	0.0	0.0	0.0	17.0	1.0	0.0	0.0
Contig100389384||full	0	False	0	6	2	0	False	0.0	0.0	0.0	5.0	0.0	0.0	1.0
Contig100389389||full	0	False	0	4	0	0	False	0.0	0.0	0.0	4.0	0.0	0.0	0.0
Contig100395677||full	0	False	0	4	0	0	False	0.0	0.0	0.0	3.0	1.0	0.0	0.0
Contig100397341||full	0	False	0	4	2	0	False	0.25	1.0	0.0	3.0	0.0	0.0	0.0
Contig100401108||full	0	False	0	5	0	0	False	0.0	0.0	1.0	4.0	0.0	0.0	0.0
Contig100412797||full	0	False	0	95	2	1	False	0.010526315789473684	1.0	11.0	79.0	3.0	0.0	1.0
Contig100412800||full	0	False	0	5	0	0	False	0.0	0.0	0.0	4.0	0.0	0.0	1.0
Contig100419343||full	0	False	0	3	1	0	False	0.0	0.0	0.0	3.0	0.0	0.0	0.0
Contig100424589||full	0	False	0	6	0	0	False	0.0	0.0	1.0	4.0	0.0	1.0	0.0
Contig100430319||full	0	False	0	4	1	0	False	0.0	0.0	0.0	4.0	0.0	0.0	0.0
Contig100434872||full	0	False	0	4	0	0	False	0.0	0.0	0.0	3.0	1.0	0.0	0.0
Contig100447947||full	0	False	0	8	1	0	False	0.0	0.0	2.0	5.0	0.0	0.0	1.0
Contig100447950||full	0	False	0	2	1	0	False	0.0	0.0	0.0	1.0	0.0	0.0	1.0
Contig100448013||full	0	False	0	8	2	0	False	0.0	0.0	1.0	7.0	0.0	0.0	0.0
Contig100459723||full	0	False	0	4	0	0	False	0.0	0.0	0.0	3.0	0.0	0.0	1.0
Contig100459971||full	0	False	0	9	0	0	False	0.0	0.0	4.0	5.0	0.0	0.0	0.0
Contig100465605||full	0	False	0	19	0	0	False	0.0	0.0	4.0	15.0	0.0	0.0	0.0
Contig100471941||full	0	False	0	15	3	0	False	0.0	0.0	0.0	13.0	1.0	0.0	1.0
Contig100477294||full	0	False	0	4	2	0	False	0.0	0.0	1.0	3.0	0.0	0.0	0.0
Contig100477299||full	0	False	0	5	1	0	False	0.0	0.0	0.0	4.0	0.0	0.0	1.0
Contig100477308||full	0	False	0	6	0	0	False	0.16666666666666666	1.0	1.0	3.0	0.0	0.0	1.0
Contig100489054||full	0	False	0	3	0	0	False	0.0	0.0	0.0	3.0	0.0	0.0	0.0
Contig100512487||full	0	False	0	22	1	0	False	0.045454545454545456	1.0	0.0	18.0	0.0	0.0	3.0
Contig100518277||full	0	False	0	6	0	0	False	0.0	0.0	1.0	5.0	0.0	0.0	0.0
Contig100518778||full	0	False	0	7	2	0	False	0.0	0.0	0.0	7.0	0.0	0.0	0.0
Contig100524292||full	0	False	0	3	0	0	False	0.0	0.0	1.0	2.0	0.0	0.0	0.0
Contig100524521||full	0	False	0	3	1	0	False	0.0	0.0	0.0	2.0	0.0	0.0	1.0
Contig100529972||full	0	False	0	3	2	0	False	0.0	0.0	0.0	3.0	0.0	0.0	0.0
Contig100529974||full	0	False	0	9	0	0	False	0.0	0.0	0.0	9.0	0.0	0.0	0.0
Contig100535851||full	0	False	0	3	0	0	False	0.0	0.0	0.0	3.0	0.0	0.0	0.0
Contig100536001||full	0	False	0	2	0	0	False	0.0	0.0	0.0	2.0	0.0	0.0	0.0
Contig100541680||full	0	False	0	5	1	0	False	0.0	0.0	0.0	5.0	0.0	0.0	0.0
Contig100541681||full	0	False	0	4	1	0	False	0.0	0.0	1.0	3.0	0.0	0.0	0.0
Contig100547600||full	0	False	0	4	0	0	False	0.0	0.0	0.0	4.0	0.0	0.0	0.0
Contig100549394||full	0	False	0	9	0	1	False	0.1111111111111111	1.0	0.0	8.0	0.0	0.0	0.0
Contig100559406||full	0	False	0	3	2	0	False	0.0	0.0	0.0	3.0	0.0	0.0	0.0
Contig100565251||full	0	False	0	3	0	0	False	0.0	0.0	0.0	3.0	0.0	0.0	0.0
Contig100566790||full	0	False	0	21	0	0	False	0.0	0.0	1.0	20.0	0.0	0.0	0.0
Contig100571052||full	0	False	0	4	0	0	False	0.25	1.0	0.0	3.0	0.0	0.0	0.0
Contig100576874||full	0	False	0	13	2	0	False	0.0	0.0	2.0	11.0	0.0	0.0	0.0
Contig100582799||full	0	False	0	13	2	0	False	0.0	0.0	0.0	13.0	0.0	0.0	0.0
Contig100588712||full	0	False	0	3	1	0	False	0.0	0.0	0.0	3.0	0.0	0.0	0.0
Contig100594481||full	0	False	0	5	1	0	False	0.0	0.0	0.0	5.0	0.0	0.0	0.0
Contig100594501||full	0	False	0	2	0	0	False	0.0	0.0	0.0	2.0	0.0	0.0	0.0
Contig10059839||full	0	False	0	3	1	0	False	0.0	0.0	0.0	3.0	0.0	0.0	0.0
Contig100606068||full	0	False	0	8	0	0	False	0.0	0.0	1.0	6.0	1.0	0.0	0.0
Contig100607252||full	0	False	0	6	0	0	False	0.0	0.0	1.0	5.0	0.0	0.0	0.0
Contig100607994||full	0	False	0	3	0	0	False	0.0	0.0	1.0	2.0	0.0	0.0	0.0
Contig100617864||full	0	False	0	3	0	0	False	0.0	0.0	0.0	2.0	1.0	0.0	0.0
Contig100629864||full	0	False	0	4	1	0	False	0.0	0.0	0.0	3.0	0.0	0.0	1.0
Contig100636030||full	0	False	0	3	1	0	False	0.0	0.0	0.0	3.0	0.0	0.0	0.0
Contig100641146||full	0	False	0	338	38	6	False	0.03550295857988166	12.0	40.0	267.0	9.0	1.0	9.0
Contig100641147||full	0	False	0	113	2	1	False	0.017699115044247787	2.0	15.0	90.0	0.0	1.0	5.0
Contig100641148||full	0	False	0	41	0	0	False	0.024390243902439025	1.0	2.0	38.0	0.0	0.0	0.0
Contig100641149||full	0	False	0	98	4	0	False	0.030612244897959183	3.0	2.0	93.0	0.0	0.0	0.0
Contig100641152||full	0	False	0	15	3	0	False	0.0	0.0	2.0	13.0	0.0	0.0	0.0
Contig100647131||full	0	False	0	3	1	0	False	0.6666666666666666	2.0	0.0	1.0	0.0	0.0	0.0
Contig100647195||full	0	False	0	10	1	0	False	0.0	0.0	1.0	8.0	0.0	1.0	0.0
Contig100648557||full	0	False	0	2	1	0	False	0.5	1.0	0.0	1.0	0.0	0.0	0.0
Contig10064898||full	0	False	0	4	1	0	False	0.0	0.0	0.0	3.0	0.0	0.0	1.0
Contig100652848||full	0	False	0	4	1	0	False	0.0	0.0	0.0	4.0	0.0	0.0	0.0
Contig100658742||full	0	False	0	4	1	0	False	0.0	0.0	0.0	4.0	0.0	0.0	0.0
Contig100658748||full	0	False	0	4	2	0	False	0.0	0.0	1.0	3.0	0.0	0.0	0.0
Contig100664554||full	0	False	0	12	5	0	False	0.0	0.0	0.0	12.0	0.0	0.0	0.0
Contig100664555||full	0	False	0	5	0	0	False	0.0	0.0	0.0	5.0	0.0	0.0	0.0
Contig100664559||full	0	False	0	14	4	0	False	0.14285714285714285	2.0	0.0	11.0	0.0	0.0	1.0
Contig100664560||full	0	False	0	4	2	0	False	0.0	0.0	0.0	4.0	0.0	0.0	0.0
Contig100664561||full	0	False	0	5	1	0	False	0.0	0.0	2.0	3.0	0.0	0.0	0.0
Contig100664562||full	0	False	0	6	0	0	False	0.0	0.0	1.0	4.0	1.0	0.0	0.0
Contig100664572||full	0	False	0	10	0	0	False	0.0	0.0	1.0	9.0	0.0	0.0	0.0
Contig100664584||full	0	False	0	1	0	0	False	0.0	0.0	0.0	0.0	0.0	0.0	1.0
Contig100670492||full	0	False	0	4	2	0	False	0.0	0.0	0.0	4.0	0.0	0.0	0.0
Contig100670501||full	0	False	0	4	1	0	False	0.0	0.0	0.0	4.0	0.0	0.0	0.0
Contig100676387||full	0	False	0	6	0	0	False	0.0	0.0	0.0	6.0	0.0	0.0	0.0
Contig100682137||full	0	False	0	6	1	0	False	0.16666666666666666	1.0	0.0	4.0	0.0	0.0	1.0
Contig100682210||full	0	False	0	12	4	0	False	0.0	0.0	1.0	11.0	0.0	0.0	0.0
Contig100683829||full	0	False	0	4	1	0	False	0.0	0.0	0.0	4.0	0.0	0.0	0.0
Contig100688086||full	0	False	0	3	1	0	False	0.0	0.0	0.0	3.0	0.0	0.0	0.0
Contig100688098||full	0	False	0	12	3	0	False	0.0	0.0	0.0	12.0	0.0	0.0	0.0
Contig100694139||full	0	False	0	4	1	0	False	0.25	1.0	0.0	3.0	0.0	0.0	0.0
Contig10070234||full	0	False	0	7	1	1	False	0.0	0.0	0.0	7.0	0.0	0.0	0.0
Contig100711502||full	0	False	0	28	3	0	False	0.0	0.0	0.0	28.0	0.0	0.0	0.0
Contig100711503||full	0	False	0	5	0	0	False	0.2	1.0	1.0	3.0	0.0	0.0	0.0
Contig100711505||full	0	False	0	30	0	0	False	0.0	0.0	4.0	25.0	0.0	1.0	0.0
Contig100711506||full	0	False	0	6	1	0	False	0.0	0.0	0.0	6.0	0.0	0.0	0.0
Contig100711508||full	0	False	0	15	0	0	False	0.0	0.0	1.0	14.0	0.0	0.0	0.0
Contig100711515||full	0	False	0	4	1	0	False	0.0	0.0	0.0	3.0	0.0	0.0	1.0
Contig100711517||full	0	False	0	6	4	0	False	0.0	0.0	0.0	6.0	0.0	0.0	0.0
Contig100723131||full	0	False	0	4	0	0	False	0.0	0.0	0.0	4.0	0.0	0.0	0.0
Contig100752558||full	0	False	0	3	0	0	False	0.0	0.0	0.0	2.0	0.0	0.0	1.0
Contig10075589||full	0	False	0	8	2	0	False	0.0	0.0	0.0	8.0	0.0	0.0	0.0
Contig100764122||full	0	False	0	17	1	0	False	0.058823529411764705	1.0	1.0	14.0	0.0	0.0	1.0
Contig100764123||full	0	False	0	22	4	0	False	0.0	0.0	4.0	16.0	0.0	1.0	1.0
Contig100764124||full	0	False	0	15	0	0	False	0.0	0.0	0.0	15.0	0.0	0.0	0.0
Contig10076713||full	0	False	0	4	1	0	False	0.0	0.0	1.0	3.0	0.0	0.0	0.0
Contig100770134||full	0	False	0	8	0	0	False	0.0	0.0	0.0	8.0	0.0	0.0	0.0
Contig100775856||full	0	False	0	8	2	0	False	0.0	0.0	1.0	7.0	0.0	0.0	0.0
Contig100775904||full	0	False	0	3	0	0	False	0.6666666666666666	2.0	0.0	1.0	0.0	0.0	0.0
Contig100775964||full	0	False	0	3	2	0	False	0.3333333333333333	1.0	0.0	2.0	0.0	0.0	0.0
Contig100781692||full	0	False	0	7	0	0	False	0.0	0.0	0.0	7.0	0.0	0.0	0.0
Contig100781721||full	0	False	0	4	1	0	False	0.0	0.0	1.0	3.0	0.0	0.0	0.0
Contig100783742||full	0	False	0	5	3	0	False	0.0	0.0	0.0	5.0	0.0	0.0	0.0
Contig100811013||full	0	False	0	4	0	0	False	0.0	0.0	1.0	3.0	0.0	0.0	0.0
Contig100822177||full	0	False	0	67	5	0	False	0.014925373134328358	1.0	2.0	63.0	1.0	0.0	0.0
Contig100822747||full	0	False	0	3	0	0	False	0.0	0.0	0.0	3.0	0.0	0.0	0.0
Contig100830436||full	0	False	0	7	0	0	False	0.0	0.0	0.0	7.0	0.0	0.0	0.0
Contig100834400||full	0	False	0	9	0	0	False	0.0	0.0	0.0	9.0	0.0	0.0	0.0
Contig100834445||full	0	False	0	7	2	0	False	0.14285714285714285	1.0	0.0	6.0	0.0	0.0	0.0
Contig100836174||full	0	False	0	6	1	0	False	0.0	0.0	1.0	5.0	0.0	0.0	0.0
Contig100840242||full	0	False	0	10	4	0	False	0.0	0.0	0.0	10.0	0.0	0.0	0.0
Contig100840245||full	0	False	0	11	2	0	False	0.0	0.0	0.0	11.0	0.0	0.0	0.0
Contig100840255||full	0	False	0	4	0	0	False	0.0	0.0	0.0	4.0	0.0	0.0	0.0
Contig100840267||full	0	False	0	4	1	0	False	0.0	0.0	1.0	3.0	0.0	0.0	0.0
Contig100840270||full	0	False	0	5	1	0	False	0.0	0.0	0.0	5.0	0.0	0.0	0.0
Contig100840272||full	0	False	0	6	0	0	False	0.0	0.0	0.0	6.0	0.0	0.0	0.0
Contig100840290||full	0	False	0	4	0	0	False	0.0	0.0	0.0	4.0	0.0	0.0	0.0
Contig100840296||full	0	False	0	3	1	0	False	0.0	0.0	0.0	3.0	0.0	0.0	0.0
Contig100852006||full	0	False	0	4	1	0	False	0.0	0.0	0.0	4.0	0.0	0.0	0.0
Contig100852008||full	0	False	0	3	0	0	False	0.3333333333333333	1.0	0.0	2.0	0.0	0.0	0.0
Contig100852048||full	0	False	0	6	2	0	False	0.16666666666666666	1.0	1.0	4.0	0.0	0.0	0.0
Contig100858072||full	0	False	0	9	1	0	False	0.0	0.0	0.0	9.0	0.0	0.0	0.0
Contig100860043||full	0	False	0	3	1	0	False	0.0	0.0	0.0	2.0	0.0	0.0	1.0
Contig100863689||full	0	False	0	3	1	0	False	0.0	0.0	0.0	3.0	0.0	0.0	0.0
Contig100863700||full	0	False	0	2	1	0	False	0.0	0.0	0.0	2.0	0.0	0.0	0.0
Contig100863706||full	0	False	0	3	0	0	False	0.0	0.0	0.0	3.0	0.0	0.0	0.0
Contig100863818||full	0	False	0	5	2	0	False	0.0	0.0	1.0	4.0	0.0	0.0	0.0
Contig100865880||0_partial	0	False	0	17	0	0	False	0.0	0.0	1.0	14.0	1.0	0.0	1.0
Contig100875481||full	0	False	0	30	0	0	False	0.0	0.0	0.0	29.0	0.0	0.0	1.0
Contig100875485||full	0	False	0	17	1	0	False	0.0	0.0	0.0	17.0	0.0	0.0	0.0
Contig100875487||full	0	False	0	10	3	0	False	0.0	0.0	0.0	10.0	0.0	0.0	0.0
Contig100875607||full	0	False	0	3	1	0	False	0.0	0.0	0.0	3.0	0.0	0.0	0.0
Contig100875642||full	0	False	0	5	0	0	False	0.0	0.0	0.0	5.0	0.0	0.0	0.0
Contig1008784||full	0	False	0	3	0	0	False	0.0	0.0	0.0	3.0	0.0	0.0	0.0
Contig100887188||full	0	False	0	9	0	0	False	0.0	0.0	0.0	9.0	0.0	0.0	0.0
Contig100887223||full	0	False	0	7	0	0	False	0.0	0.0	1.0	6.0	0.0	0.0	0.0
Contig100893006||full	0	False	0	3	1	0	False	0.0	0.0	0.0	2.0	0.0	0.0	1.0
Contig100893016||full	0	False	0	6	0	0	False	0.0	0.0	0.0	6.0	0.0	0.0	0.0
Contig100893019||full	0	False	0	7	0	0	False	0.0	0.0	1.0	6.0	0.0	0.0	0.0
Contig100893025||full	0	False	0	4	0	0	False	0.25	1.0	0.0	3.0	0.0	0.0	0.0
Contig100893026||full	0	False	0	7	0	0	False	0.0	0.0	2.0	5.0	0.0	0.0	0.0
Contig100898877||full	0	False	0	27	11	0	False	0.037037037037037035	1.0	1.0	24.0	0.0	0.0	1.0
Contig100898882||full	0	False	0	4	2	0	False	0.0	0.0	0.0	3.0	1.0	0.0	0.0
Contig100901101||full	0	False	0	5	1	0	False	0.2	1.0	0.0	4.0	0.0	0.0	0.0
Contig100904726||full	0	False	0	2	1	0	False	0.5	1.0	0.0	1.0	0.0	0.0	0.0
Contig100904727||full	0	False	0	3	0	0	False	0.0	0.0	0.0	2.0	0.0	0.0	1.0
Contig100910822||full	0	False	0	5	0	0	True	0.0	0.0	0.0	4.0	0.0	0.0	1.0
Contig100911419||full	0	False	0	4	0	0	False	0.25	1.0	1.0	2.0	0.0	0.0	0.0
Contig1009133||full	0	False	0	3	0	0	False	0.0	0.0	0.0	3.0	0.0	0.0	0.0
Contig100916379||full	0	False	0	5	0	0	False	0.0	0.0	0.0	5.0	0.0	0.0	0.0
Contig100921456||full	0	False	0	36	6	0	False	0.0	0.0	6.0	26.0	3.0	0.0	1.0
Contig100922316||full	0	False	0	2	1	0	False	0.0	0.0	0.0	2.0	0.0	0.0	0.0
Contig100922557||full	0	False	0	5	0	0	False	0.0	0.0	1.0	4.0	0.0	0.0	0.0
Contig100922889||full	0	False	0	5	2	0	False	0.0	0.0	0.0	4.0	0.0	0.0	1.0
Contig100928145||full	0	False	0	5	0	0	False	0.0	0.0	0.0	4.0	0.0	0.0	1.0
Contig100928147||full	0	False	0	4	0	0	False	0.0	0.0	0.0	4.0	0.0	0.0	0.0
Contig100928295||full	0	False	0	4	1	0	True	0.0	0.0	1.0	2.0	0.0	0.0	1.0
Contig100934041||full	0	False	0	3	0	0	False	0.0	0.0	0.0	2.0	0.0	0.0	1.0
Contig100934230||full	0	False	0	31	1	0	False	0.0	0.0	1.0	30.0	0.0	0.0	0.0
Contig100934231||full	0	False	0	9	0	0	False	0.0	0.0	2.0	7.0	0.0	0.0	0.0
Contig100939862||full	0	False	0	5	2	0	False	0.0	0.0	1.0	4.0	0.0	0.0	0.0
Contig100945707||full	0	False	0	16	2	0	False	0.0	0.0	2.0	14.0	0.0	0.0	0.0
Contig100945708||full	0	False	0	78	6	0	False	0.0	0.0	4.0	73.0	0.0	1.0	0.0
Contig100945723||full	0	False	0	3	0	0	False	0.0	0.0	0.0	2.0	0.0	0.0	1.0
Contig100945910||full	0	False	0	4	0	0	False	0.0	0.0	1.0	2.0	1.0	0.0	0.0
Contig100946447||full	0	False	0	4	0	0	False	0.25	1.0	2.0	1.0	0.0	0.0	0.0
Contig100947258||full	0	False	0	3	1	1	False	0.3333333333333333	1.0	0.0	2.0	0.0	0.0	0.0
Contig100951737||full	0	False	0	5	3	0	False	0.0	0.0	1.0	4.0	0.0	0.0	0.0
Contig100957532||full	0	False	0	3	0	0	False	0.3333333333333333	1.0	0.0	2.0	0.0	0.0	0.0
Contig100957636||full	0	False	0	7	0	0	False	0.0	0.0	1.0	6.0	0.0	0.0	0.0
